,economy,Continent,Sub-region Name,CLDR display name,CC.PER.RNK.LOWER.2018,IQ.SPI.PIL1.2015,IT.NET.SECR.P6.2016,RL.EST.2018,RQ.PER.RNK.UPPER.2018,SG.GEN.PARL.ZS.2019,SH.DYN.1014.2017,SP.DYN.IMRT.IN.2017,SP.POP.0014.TO.ZS.2018,SP.POP.1564.MA.ZS.2018,SP.POP.6064.MA.5Y.2018,SP.POP.7074.MA.5Y.2018
55,ERI,AF,Sub-Saharan Africa,Eritrea,1.42857146263123,20.0,0.0,-1.62014710903168,2.85714292526245,22.0,4.0,32.2,41.5632466078796,53.9734240302716,1.73419613212895,1.09498884692683
56,EST,EU,Northern Europe,Estonia,87.1428604125977,80.0,10786.6756853297,1.20360350608826,97.6190490722656,29.7029702970297,0.7,2.1,16.3638323258184,67.8272635328332,6.01371028736743,3.40824237388324
57,SWZ,AF,Sub-Saharan Africa,Eswatini,33.3333320617676,40.0,25.3823989692996,-0.276786595582962,48.5714302062988,7.2463768115942,1.9,49.0,36.3264831279852,60.1865364922571,1.71872714226999,0.820701353525925
58,ETH,AF,Sub-Saharan Africa,Ethiopia,26.1904754638672,80.0,0.398886051817122,-0.445004612207413,25.238094329834,38.7568555758684,3.7,39.6,41.0813699066848,55.5555434270358,1.58296956124885,0.835099583816009
59,FJI,OC,Melanesia,Fiji,59.523811340332,70.0,107.799571197261,0.17677891254425,73.8095245361328,19.6078431372549,2.7,21.6,29.6900095321416,65.466913128643,3.37709872143343,1.2770523205318
60,FIN,EU,Northern Europe,Finland,95.7142868041992,80.0,7131.36291119889,2.0346474647522,99.523811340332,47.0,0.4,1.9,16.070388313869,64.1558884926383,6.54624437036361,5.47576135027119
61,FRA,EU,Western Europe,France,81.4285736083984,80.0,6688.01787132278,1.39610087871552,90.476188659668,39.6880415944541,0.4,3.3,17.8354138790437,63.1106243834485,6.0108371361032,4.59705105296455
62,GAB,AF,Sub-Saharan Africa,Gabon,11.9047622680664,20.0,21.5702572037469,-0.720236599445343,31.9047622680664,17.910447761194,7.2,33.2,36.6293698732876,60.317244737718,1.94984218180031,0.986447515675714
63,GMB,AF,Sub-Saharan Africa,Gambia,26.1904754638672,40.0,8.19952995115669,-0.455911904573441,36.6666679382324,10.3448275862069,5.1,37.7,44.650888752597,52.2367841726915,1.3507363500574,0.715076350798072
64,GEO,AS,Western Asia,Georgia,66.6666641235352,70.0,406.706362566918,0.270468592643738,90.0,14.7651006711409,1.2,8.9,20.4501865560364,66.5754414924971,5.39657615650569,2.45463466485305
65,DEU,EU,Western Europe,Germany,91.9047622680664,80.0,11624.9602042748,1.59134912490845,99.0476226806641,30.8885754583921,0.4,3.3,13.5216433325741,66.9037585790644,6.50273282102815,4.105297712514
66,GHA,AF,Sub-Saharan Africa,Ghana,42.8571434020996,70.0,93.4212523976627,0.05157820135355,60.0,13.0909090909091,4.8,36.7,38.1507843998248,58.2842431695957,1.93962512210168,0.819364714713125
67,GRC,EU,Southern Europe,Greece,45.238094329834,80.0,1411.84492794199,0.112756364047527,75.2380981445313,20.6666666666667,0.5,3.8,14.3510409144581,64.7573931690135,6.01665516386339,4.93268342095128
68,GRD,NA,Latin America and the Caribbean,Grenada,56.6666679382324,30.0,258.406548522081,0.249573826789856,61.9047622680664,46.6666666666667,2.1,14.5,24.0979825670152,67.1691997937486,4.2960853160475,1.98721568820029
69,GTM,NA,Latin America and the Caribbean,Guatemala,13.8095235824585,70.0,37.9082481398107,-1.07546639442444,57.1428565979004,19.375,2.1,22.2,34.5554976563894,60.3517053162357,2.03967898731453,1.09862004182657
70,GIN,AF,Sub-Saharan Africa,Guinea,9.5238094329834,50.0,0.921969141692828,-1.23089265823364,31.9047622680664,22.8070175438596,6.5,69.2,42.6453706449799,53.1441439234582,1.57132616348366,0.825398565496487
71,GNB,AF,Sub-Saharan Africa,Guinea-Bissau,0.0,40.0,1.63527662339361,-1.26575613021851,13.8095235824585,13.7254901960784,6.2,56.3,41.800754251594,54.7342354638693,1.37232541202436,0.658680362693154
72,GUY,SA,Latin America and the Caribbean,Guyana,37.1428565979004,40.0,31.6169292847855,-0.383601844310761,45.7142868041992,31.8840579710145,2.9,26.0,29.0993540535242,64.7812402859807,3.15692674334266,1.39039995855352
73,HTI,NA,Latin America and the Caribbean,Haiti,3.33333325386047,70.0,4.57351974999834,-1.06164228916168,13.8095235824585,2.54237288135593,4.7,50.5,33.2281203197735,62.4964538929209,2.32327208954749,1.09214607289003
74,HND,NA,Latin America and the Caribbean,Honduras,20.0,70.0,29.7015114369845,-1.05718719959259,46.1904754638672,21.09375,3.1,16.3,32.2016420143268,63.8216075675245,2.2025706676991,0.982656308126101
75,HUN,EU,Eastern Europe,Hungary,50.9523811340332,80.0,4125.9328615798,0.554466903209686,79.0476226806641,12.5628140703518,0.6,3.7,14.5441489839135,69.219983748458,6.86759229425304,4.05067973636387
76,ISL,EU,Northern Europe,Iceland,90.476188659668,60.0,35663.7123292163,1.67916393280029,97.1428604125977,38.0952380952381,0.4,2.1,19.160013146487,67.6034038635904,5.4751295581022,3.50950647305275
77,IND,AS,Southern Asia,India,39.523811340332,60.0,37.8915456605638,-0.000957082957029343,58.5714302062988,14.3911439114391,2.9,31.5,27.0876752991977,66.8141166610618,3.31844694223877,1.49867320084616
78,IDN,AS,South-eastern Asia,Indonesia,35.7142868041992,80.0,305.877198130036,-0.313785791397095,62.8571434020996,17.3913043478261,2.2,21.6,26.2042610175391,67.7462261592898,3.39919343929105,1.54431750508486
79,IRN,AS,Southern Asia,Iran,10.4761905670166,60.0,61.2439182370404,-0.712358295917511,11.4285717010498,5.88235294117647,1.9,12.4,24.1061413311442,69.5895164421016,3.64459138593462,1.60250441036967
80,IRQ,AS,Western Asia,Iraq,0.476190477609634,60.0,3.92785735407177,-1.80089974403381,26.1904754638672,25.2279635258359,2.9,23.4,39.2536484866441,57.0797125771405,1.51896790766745,0.75896274237565
81,IRL,EU,Northern Europe,Ireland,88.0952377319336,80.0,11743.4418395339,1.41238701343536,99.0476226806641,22.1518987341772,0.4,3.0,20.7463346314319,65.3697532444588,5.10300867096324,3.82673443279972
82,ISR,AS,Western Asia,Israel,66.6666641235352,80.0,2119.58811139714,0.960281312465668,93.8095245361328,23.3333333333333,0.5,3.0,28.2715166576933,60.5902509302842,3.91724182163485,2.66118888718649
83,ITA,EU,Southern Europe,Italy,56.1904754638672,80.0,1305.10086363782,0.240896880626678,81.9047622680664,35.7142857142857,0.4,2.8,13.2561043393557,65.6801116716685,6.24866353316949,5.04566324576908
84,JAM,NA,Latin America and the Caribbean,Jamaica,38.5714302062988,60.0,126.307000940167,-0.217798143625259,68.0952377319336,17.4603174603175,1.5,12.2,21.8973375038009,71.4802747392667,3.42940564012766,1.80184374875762
85,JPN,AS,Eastern Asia,Japan,83.3333358764648,70.0,2108.1872265416,1.49416756629944,93.8095245361328,10.1075268817204,0.4,1.9,12.2406114580054,61.2370102864621,6.04380726376571,6.36783522507691
86,JOR,AS,Western Asia,Jordan,53.8095245361328,70.0,67.13729003791,0.231556087732315,63.8095245361328,15.3846153846154,1.1,14.2,33.9282660948174,63.7222942017607,2.04823870898604,0.862337867814292
87,KAZ,AS,Central Asia,Kazakhstan,26.6666660308838,80.0,264.189359873284,-0.503434121608734,67.1428604125977,27.1028037383178,1.5,9.4,28.5021673473639,63.9903914618557,3.77696821465583,1.24204078945541
88,KEN,AF,Sub-Saharan Africa,Kenya,12.8571424484253,50.0,19.6681593171015,-0.427653700113297,52.8571434020996,21.7765042979943,4.5,31.6,40.0768465685473,57.1977404763484,1.4159515588225,0.648297020492192
89,KIR,OC,Micronesia,Kiribati,52.3809509277344,40.0,25.313678668163,0.576801478862762,45.7142868041992,6.52173913043478,4.2,42.6,35.9540820290934,59.6679087842669,1.85392360556177,0.776393597066023
90,KWT,AS,Western Asia,Kuwait,32.3809509277344,80.0,389.072857906887,0.185752928256989,64.2857131958008,4.61538461538462,1.0,7.6,21.1430572070623,78.0109912474036,3.35215913756869,0.701642286123734
91,KGZ,AS,Central Asia,Kyrgyzstan,10.9523811340332,80.0,42.2732132576692,-0.928147077560425,49.523811340332,19.1666666666667,1.7,17.8,33.7323347839385,61.7094952628675,2.56280920981891,0.624225568977163
92,LAO,AS,South-eastern Asia,Laos,9.5238094329834,50.0,8.27122297867635,-0.863172948360443,33.8095245361328,27.5167785234899,4.9,39.1,32.0382018001253,63.812211563033,2.38309802464074,1.01753953558674
